순위,종목명,종가,대비,등락률,거래량,거래대금,시가총액,시가총액 비중,상장주식수
29,SK텔레콤,"50,200",0,0,"115,821","5,808,443,900","10,985,423,828,800",0.59,"218,833,144"
30,LG생활건강,"680,000","-13,000",-1.88,"29,780","20,134,962,000","10,620,373,960,000",0.57,"15,618,197"
31,현대중공업,"116,500","-2,000",-1.69,"24,281","2,849,689,500","10,342,068,014,000",0.55,"88,773,116"
32,HMM,"20,800",-50,-0.24,"301,157","6,313,306,950","10,172,021,516,800",0.55,"489,039,496"
33,엔씨소프트,"462,000","2,000",0.43,"23,567","10,915,234,000","10,142,758,164,000",0.54,"21,954,022"
34,두산에너빌리티,"15,600",-350,-2.19,"1,135,168","17,820,800,350","9,957,605,314,800",0.53,"638,308,033"
35,삼성전기,"132,500","-2,000",-1.49,"81,179","10,862,516,000","9,896,914,720,000",0.53,"74,693,696"
36,KT,"37,400",0,0,"185,318","6,925,966,050","9,765,581,619,200",0.52,"261,111,808"
37,삼성화재,"203,500",500,0.25,"30,623","6,265,167,000","9,640,779,329,500",0.52,"47,374,837"
38,대한항공,"25,550",-500,-1.92,"512,615","13,154,668,750","9,408,037,888,550",0.5,"368,220,661"
39,삼성에스디에스,"121,500","-1,000",-0.82,"9,959","1,220,472,500","9,401,402,700,000",0.5,"77,377,800"
40,S-Oil,"82,600",-900,-1.08,"106,592","8,838,377,000","9,299,338,619,200",0.5,"112,582,792"
41,한화솔루션,"47,600",-300,-0.63,"356,712","17,091,352,400","9,104,856,457,200",0.49,"191,278,497"
42,우리금융지주,"12,450",-50,-0.4,"301,927","3,775,411,300","9,064,353,835,050",0.49,"728,060,549"
43,크래프톤,"179,000",500,0.28,"143,551","25,793,869,000","8,783,896,055,000",0.47,"49,072,045"
44,카카오페이,"62,500",900,1.46,"933,367","58,610,000,700","8,310,133,125,000",0.45,"132,962,130"
45,기업은행,"10,850",-50,-0.46,"217,764","2,370,838,900","8,075,661,368,950",0.43,"744,300,587"
46,아모레퍼시픽,"130,500","-4,500",-3.33,"226,970","29,896,664,500","7,633,305,049,500",0.41,"58,492,759"
47,LG이노텍,"277,500","-8,500",-2.97,"103,703","29,009,982,500","6,567,622,192,500",0.35,"23,667,107"
48,롯데케미칼,"185,000","-4,500",-2.37,"43,600","8,129,518,000","6,340,952,515,000",0.34,"34,275,419"
49,현대글로비스,"168,500",-500,-0.3,"19,999","3,375,289,500","6,318,750,000,000",0.34,"37,500,000"
50,SK바이오사이언스,"81,200","-1,500",-1.81,"63,012","5,172,084,400","6,234,864,535,200",0.33,"76,784,046"
